Fecha,Último,Apertura,Máximo,Mínimo,% var.,,,
01.01.2009,0.477,"0,3320","0,5020","0,3220",39.47%,,,
01.01.2010,0.281,"0,4430","0,4630","0,2760",-35.84%,,,
01.01.2011,0.241,"0,2640","0,2920","0,2310",-9.74%,,,
01.01.2012,0.113,"0,1080","0,1160","0,0930",4.63%,,,
01.01.2013,0.135,"0,1430","0,1530","0,1300",-5.59%,,,
01.01.2014,0.091,"0,1180","0,1240","0,0900",-22.22%,,,
01.01.2015,0.147,"0,2190","0,2490","0,1430",-31.94%,,,
01.01.2016,0.451,"0,6040","0,6640","0,4000",-26.43%,,,
01.01.2017,0.767,"0,8490","0,8700","0,7360",-6.23%,,,
01.01.2018,18.97,17.34,18.79,17.32,9.21%,,,
01.01.2019,25.52,26.31,26.58,24.99,-1.88%,,,
01.01.2020,14.44,15.79,15.84,14.44,-8.72%,,,
01.01.2021,0.084,"0,1140","0,1120","0,0810",-25.00%,,,
01.01.2022,0.767,"0,3970","0,8110","0,3760",99.74%,,,
01.01.2023,46.86,47.65,47.32,46.44,-0.99%,,,
01.02.2009,0.682,"0,4820","0,7390","0,4520",42.98%,,,
01.02.2010,0.296,"0,2830","0,4120","0,2680",5.34%,,,
01.02.2011,0.241,"0,2410","0,3160","0,2360",0.00%,,,
01.02.2012,0.161,"0,1130","0,1790","0,1130",42.48%,,,
01.02.2013,0.153,"0,1350","0,1580","0,1330",13.33%,,,
01.02.2014,0.107,"0,0900","0,1190","0,0900",17.58%,,,
01.02.2015,0.193,"0,1450","0,2310","0,1430",31.29%,,,
01.02.2016,0.602,"0,4450","0,5660","0,4280",33.48%,,,
01.02.2017,0.8,"0,8310","0,8290","0,7720",4.30%,,,
01.02.2018,20.7,18.97,20.64,18.26,9.12%,,,
01.02.2019,25.42,25.46,25.72,25.24,-0.39%,,,
01.02.2020,0.983,14.57,14.95,"0,9620",-31.93%,,,
01.02.2021,0.079,"0,0860","0,0940","0,0530",-5.95%,,,
01.02.2022,10.11,"0,7950",11.17,"0,7260",31.81%,,,
01.02.2023,50.1,47.11,50.62,46.31,6.91%,,,
01.03.2009,0.547,"0,6820","0,7310","0,5370",-19.79%,,,
01.03.2010,0.385,"0,2910","0,4360","0,2890",30.07%,,,
01.03.2011,0.273,"0,2410","0,2830","0,1970",13.28%,,,
01.03.2012,0.172,"0,1610","0,2100","0,1560",6.83%,,,
01.03.2013,0.129,"0,1550","0,1590","0,1260",-15.69%,,,
01.03.2014,0.119,"0,1030","0,1340","0,1000",11.21%,,,
01.03.2015,0.229,"0,1930","0,2440","0,1900",18.65%,,,
01.03.2016,0.593,"0,5990","0,6880","0,5850",-1.50%,,,
01.03.2017,10.27,"0,9320",10.42,"0,9160",28.37%,,,
01.03.2018,20.9,20.69,21.11,19.87,0.97%,,,
01.03.2019,24.01,25.46,25.41,23.93,-5.55%,,,
01.03.2020,0.152,"0,9930","0,7870","0,0970",-84.54%,,,
01.03.2021,0.063,"0,0840","0,0960","0,0580",-20.25%,,,
01.03.2022,16.08,10.47,16.47,"0,8650",59.05%,,,
01.03.2023,46.24,50.4,52.02,40.25,-7.70%,,,
01.04.2009,0.465,"0,5370","0,6070","0,4550",-14.99%,,,
01.04.2010,0.381,"0,3820","0,4950","0,3740",-1.04%,,,
01.04.2011,0.187,"0,2710","0,2950","0,1870",-31.50%,,,
01.04.2012,0.179,"0,1720","0,2040","0,1560",4.07%,,,
01.04.2013,0.103,"0,1290","0,1450","0,1030",-20.16%,,,
01.04.2014,0.107,"0,1210","0,1210","0,0910",-10.08%,,,
01.04.2015,0.232,"0,2620","0,2390","0,1920",1.31%,,,
