,Date,Price,Open,High,Low,Change %,Variation,OpenPrice
0,04/01/2023,35.7,34.94,36.39,32.53,0.0218,2.18%,1.021751574127075
1,03/01/2023,34.94,39.4,40.91,32.95,-0.10779999999999999,-10.78%,0.8868020304568528
2,02/01/2023,39.16,34.75,39.83,33.34,0.1097,10.97%,1.1269064748201438
3,01/01/2023,35.29,37.58,38.1,33.73,-0.0902,-9.02%,0.9390633315593401
4,12/01/2022,38.79,35.94,39.05,34.02,0.0475,4.75%,1.0792988313856429
5,11/01/2022,37.03,39.37,42.23,36.68,-0.0917,-9.17%,0.9405638811277623
6,10/01/2022,40.77,37.12,43.33,35.64,0.0718,7.18%,1.0983297413793105
7,09/01/2022,38.04,32.17,39.92,31.76,0.21420000000000003,21.42%,1.1824681380167856
8,08/01/2022,31.33,26.58,31.51,25.25,0.1858,18.58%,1.1787057938299474
9,07/01/2022,26.42,29.32,31.01,26.18,-0.111,-11.10%,0.9010914051841746
10,06/01/2022,29.72,28.71,34.83,28.33,0.045,4.50%,1.0351793800069662
11,05/01/2022,28.44,29.22,31.67,27.08,-0.0149,-1.49%,0.9733059548254621
12,04/01/2022,28.87,24.04,29.54,23.57,0.2407,24.07%,1.2009151414309485
13,03/01/2022,23.27,17.34,25.03,16.82,0.26539999999999997,26.54%,1.3419838523644751
14,02/01/2022,18.39,17.5,20.65,17.43,0.032,3.20%,1.050857142857143
15,01/01/2022,17.82,15.34,18.74,15.33,0.17859999999999998,17.86%,1.1616688396349413
16,12/01/2021,15.12,14.82,15.58,13.43,0.0478,4.78%,1.020242914979757
17,11/01/2021,14.43,15.87,16.93,14.12,-0.0732,-7.32%,0.9092627599243857
18,10/01/2021,15.57,14.96,16.91,14.63,0.0183,1.83%,1.0407754010695187
19,09/01/2021,15.29,13.11,15.67,12.6,0.1725,17.25%,1.1662852784134248
20,08/01/2021,13.04,12.31,13.79,11.29,0.0525,5.25%,1.059301380991064
21,07/01/2021,12.39,14.71,14.85,11.28,-0.1414,-14.14%,0.8422841604350781
22,06/01/2021,14.43,16.25,16.39,14.38,-0.0873,-8.73%,0.888
23,05/01/2021,15.81,16.51,17.0,14.71,-0.030699999999999998,-3.07%,0.9576014536644457
24,04/01/2021,16.31,17.05,17.45,15.29,-0.0659,-6.59%,0.956598240469208
25,03/01/2021,17.46,14.51,17.65,14.03,0.1959,19.59%,1.2033080634045488
26,02/01/2021,14.6,10.79,16.14,10.6,0.3358,33.58%,1.3531047265987026
27,01/01/2021,10.93,9.35,11.87,9.07,0.19190000000000002,19.19%,1.1689839572192513
28,12/01/2020,9.17,8.57,9.86,8.57,0.08650000000000001,8.65%,1.0700116686114352
29,11/01/2020,8.44,8.54,9.75,7.48,-0.018600000000000002,-1.86%,0.9882903981264637
30,10/01/2020,8.6,7.01,8.72,6.53,0.2703,27.03%,1.2268188302425107
31,09/01/2020,6.77,7.2,7.29,6.06,-0.0231,-2.31%,0.9402777777777777
32,08/01/2020,6.93,5.59,7.46,5.04,0.2929,29.29%,1.2397137745974955
33,07/01/2020,5.36,6.81,7.24,5.28,-0.17920000000000003,-17.92%,0.7870778267254039
34,06/01/2020,6.53,6.67,9.57,6.19,0.0077,0.77%,0.9790104947526237
35,05/01/2020,6.48,6.13,7.45,5.9,0.0418,4.18%,1.0570962479608483
36,04/01/2020,6.22,6.1,7.84,5.43,-0.10890000000000001,-10.89%,1.019672131147541
37,03/01/2020,6.98,10.67,12.66,3.98,-0.3807,-38.07%,0.654170571696345
38,02/01/2020,11.27,15.55,16.68,11.27,-0.2586,-25.86%,0.7247588424437298
39,01/01/2020,15.2,19.03,19.03,15.12,-0.2079,-20.79%,0.7987388334209142
40,12/01/2019,19.19,18.33,19.49,16.93,0.0805,8.05%,1.0469176213857068
